,advertiserurl,company,employmenttype_jobstatus,jobdescription,jobid,joblocation_address,jobtitle,postdate,shift,site_name,skills,uniq_id
0,"https://www.dice.com/jobs/detail/Senior-Full-Stack-Developer-GENEVA-CONSULTING-GROUP-New-York-NY-10017/geneva/600557?icid=sr35103-1171p&q=&l=California,%20Us,%20CALIFORNIA",GENEVA CONSULTING GROUP,"Contract Corp-To-Corp, Contract W2, 1 year project",Must Have:ReactJSHTML5CSSNodeJSnpmRestful ServicesJSONXMLGood to Have:WebservicesSpringJavaCassandraSolrAgile ,Dice Id : geneva,"New York, NY",Senior Full Stack Developer,19 hours ago,Telecommuting not available|Travel not required,,4-7 years of Full Stack Development experience,1852d4ede66128e938ca0c92ee5b9acf
1,"https://www.dice.com/jobs/detail/IT-Auditor-WEX-Inc-South-Portland-ME-04106/10527711/809316?icid=sr2791-94p&q=&l=Boston,%20MA",WEX Inc,Full Time,"Senior IT AuditorWEX Inc. is a leading and growing global provider of payment processing, information management and fleet card payment solutions.  We are passionate about providing payment solutions with unparalleled security and control for corporate purchasing and transaction monitoring needs.  We hire people who share the same passion for continuous innovation and client service that is unparalleled in our industry.  We are employee centric offering value-based incentives and generous compensation and benefits packages.  If you are looking for a growing career – come be part of WEX today!General Purpose: Information Systems Auditor: Conducts internal information technology system audits and risk assessments. Develops and implements an audit and control framework to monitor IT production environments for potential system integrity exposure and control weaknesses. Identifies various risks (e.g., financial, operational, compliance) to the organization and makes recommendations for corrective actions/mitigation of risks. Evaluates complex information systems and controls including but not limited to applications, business control processes, change control management procedures, security, networks, and computer and data center operations. Reports findings to management and communicates recommendations for corrective actions. May provide support for Sarbanes-Oxley (SOX) compliance. Typically requires expertise in enterprise software and relational databases.Essential Duties and Responsibilities:1.    Conducts risk-based IT audits.  This includes:a.    Having a thorough understanding of the multiple complex IT systems in order to effectively identify and evaluate organizational risks,b.    Evaluating IT management practices and procedures for compliance with applicable regulations, company policy, and industry standards, e.g. COBIT, FFIEC Guidelines, PCI Data Security Standards, etc.c.    Identifying and testing effectiveness of operating procedures and of internal controls embedded in systems,d.    Preparing, along with reviewing the work of others, audit work papers in accordance with professional standards, ande.    Preparing and reviewing written reports of completed audits and presenting results to Management.2.    Assisting in the management of  Sarbanes Oxley compliance as it relates to IT controls.  This includes working with Management to identify and test key IT controls according to generally accepted auditing standards.3.    Assisting in facilitating IT related audits performed by external parties, e.g.  SSAE 16, PCI, and regulatory reviews.4.    Other duties include:a.    Assisting in the development of the overall audit plan by evaluating the efficiency and effectiveness of present audit procedures,b.    Assisting the SOX and Audit teams in developing and maintaining query tools for selecting samples and performing tests,c.    Assisting external auditors, and d.    Assisting in the handling of non-routine inquires and other confidential projects. Qualifications Minimum Required Qualifications for Consideration•    Bachelor’s degree required with a preference toward Computer Science, Information Systems, Information Security, Accounting, Finance, or Business•    Minimum of five years audit experience required, with a minimum of 3 years IT audit experience •    Demonstrate knowledge and experience with IT technical areas, e.g. logical security, network configuration, operating systems, change management, IT operations, cloud computing, etc.•    Practical IT experience helpful and may be considered in lieu of audit experience requirement•    Strong understanding of payment  systems and PCI Data Security Standards preferred•    Professional certification preferred, e.g. CISA, CISSP, or CISM, with CIA or CPA helpful•    Personal computer literacy required, e.g. Excel, PowerPoint, Word•    Strong analytical skills required•    Ability to handle complex problems and multitasks required•    Strong communication skills (verbal and written) required•    Conforms to acceptable standards of conduct as expressed in the employee handbook and the code of conduct for auditors as prescribed by the Institute of Internal Auditors and the Information Systems Audit and Controls Association •    Must pass a successful  background investigation",Dice Id : 10527711,"South Portland, ME",IT Auditor,3 weeks ago,Telecommuting not available|Travel not required,www.dice.com,"PCI, CISA, CISSP, or CISM, with CIA, IT Audit",daaf56bc42455137549c2d3355675dab
2,"https://www.dice.com/jobs/detail/Senior-Full-Stack-Developer-Genesis10-New-York-NY-10001/gentx001/16-02139?icid=sr14773-493p&q=&l=California,%20Us,%20CALIFORNIA",Genesis10,"Full Time, Direct Placement","Description:   Our client's Open Software Frameworks team is building a variety of products used by both independent software vendors and in-house developers. Their diverse portfolio of products includes Application Portal, Geo Spatial Mapping platform and IDE used to build their terminal applications. This team is contributing to a number of cutting-edge open source projects. Based on the breadth of the team's work, you will need to be a strong full stack developer. You strive to design, implement and support the ideal solution. Balance between elegant design and system performance and reliability is always at the front of your mind. You will have the opportunity to work closely with users, UX and Product teams. Requirements:   * 3+ years of experience programming in C/C++ * 3+ years of experience with HTML5, CSS and JavaScript * Strong OOD/OOP skills and experience applying modern design patterns * Knowledge of algorithms, standard data structures and multithreading We'd love to see: * Experience with C#, .Net internals and WPF * Experience developing distributed systems in a Windows or Linux environment * Familiarity with and understanding of an Agile methodology If you have the described qualifications and are interested in this exciting opportunity, please apply! About SWATT:   The Genesis10 Software and Technology Team (SWATT) is a specialized recruiting service focused on helping accomplished software developers, programmers, platform engineers and elite technology professionals find once-in-a-lifetime career opportunities in New York City with the world's most advanced technology organizations. Whether local to New York or relocating from across North America, we take an authentic approach to helping people make life-changing technology career decisions. For more information go to http://swatt.genesis10.com/ ""Genesis10 is an Equal Opportunity Employer, M/F/D/V""  Start Date: 06/27/2016",Dice Id : gentx001,"New York, NY",Senior Full Stack Developer,7 hours ago,Telecommuting not available|Travel not required,,".Net, Algorithms, Developer, JavaScript, Linux, OOD, OOP, Programming, Systems, Windows",b9520049ff3e799ec368ae0aa99ec5f5
3,"https://www.dice.com/jobs/detail/Senior-Full-Stack-Developer-GENEVA-CONSULTING-GROUP-New-York-NY-10017/geneva/600557?icid=sr35103-1171p&q=&l=California,%20Us,%20CALIFORNIA",GENEVA CONSULTING GROUP,"Contract Corp-To-Corp, Contract W2, 1 year project",Must Have:ReactJSHTML5CSSNodeJSnpmRestful ServicesJSONXMLGood to Have:WebservicesSpringJavaCassandraSolrAgile ,Dice Id : geneva,"New York, NY",Senior Full Stack Developer,19 hours ago,Telecommuting not available|Travel not required,,4-7 years of Full Stack Development experience,1852d4ede66128e938ca0c92ee5b9acf
4,"https://www.dice.com/jobs/detail/Senior-Full-Stack-Developer-GENEVA-CONSULTING-GROUP-New-York-NY-10017/geneva/600557?icid=sr35103-1171p&q=&l=California,%20Us,%20CALIFORNIA",GENEVA CONSULTING GROUP,"Contract Corp-To-Corp, Contract W2, 1 year project",Must Have:ReactJSHTML5CSSNodeJSnpmRestful ServicesJSONXMLGood to Have:WebservicesSpringJavaCassandraSolrAgile ,Dice Id : geneva,"New York, NY",Senior Full Stack Developer,19 hours ago,Telecommuting not available|Travel not required,,4-7 years of Full Stack Development experience,1852d4ede66128e938ca0c92ee5b9acf
5,"https://www.dice.com/jobs/detail/IT-Auditor-WEX-Inc-South-Portland-ME-04106/10527711/809316?icid=sr2791-94p&q=&l=Boston,%20MA",WEX Inc,Full Time,"Senior IT AuditorWEX Inc. is a leading and growing global provider of payment processing, information management and fleet card payment solutions.  We are passionate about providing payment solutions with unparalleled security and control for corporate purchasing and transaction monitoring needs.  We hire people who share the same passion for continuous innovation and client service that is unparalleled in our industry.  We are employee centric offering value-based incentives and generous compensation and benefits packages.  If you are looking for a growing career – come be part of WEX today!General Purpose: Information Systems Auditor: Conducts internal information technology system audits and risk assessments. Develops and implements an audit and control framework to monitor IT production environments for potential system integrity exposure and control weaknesses. Identifies various risks (e.g., financial, operational, compliance) to the organization and makes recommendations for corrective actions/mitigation of risks. Evaluates complex information systems and controls including but not limited to applications, business control processes, change control management procedures, security, networks, and computer and data center operations. Reports findings to management and communicates recommendations for corrective actions. May provide support for Sarbanes-Oxley (SOX) compliance. Typically requires expertise in enterprise software and relational databases.Essential Duties and Responsibilities:1.    Conducts risk-based IT audits.  This includes:a.    Having a thorough understanding of the multiple complex IT systems in order to effectively identify and evaluate organizational risks,b.    Evaluating IT management practices and procedures for compliance with applicable regulations, company policy, and industry standards, e.g. COBIT, FFIEC Guidelines, PCI Data Security Standards, etc.c.    Identifying and testing effectiveness of operating procedures and of internal controls embedded in systems,d.    Preparing, along with reviewing the work of others, audit work papers in accordance with professional standards, ande.    Preparing and reviewing written reports of completed audits and presenting results to Management.2.    Assisting in the management of  Sarbanes Oxley compliance as it relates to IT controls.  This includes working with Management to identify and test key IT controls according to generally accepted auditing standards.3.    Assisting in facilitating IT related audits performed by external parties, e.g.  SSAE 16, PCI, and regulatory reviews.4.    Other duties include:a.    Assisting in the development of the overall audit plan by evaluating the efficiency and effectiveness of present audit procedures,b.    Assisting the SOX and Audit teams in developing and maintaining query tools for selecting samples and performing tests,c.    Assisting external auditors, and d.    Assisting in the handling of non-routine inquires and other confidential projects. Qualifications Minimum Required Qualifications for Consideration•    Bachelor’s degree required with a preference toward Computer Science, Information Systems, Information Security, Accounting, Finance, or Business•    Minimum of five years audit experience required, with a minimum of 3 years IT audit experience •    Demonstrate knowledge and experience with IT technical areas, e.g. logical security, network configuration, operating systems, change management, IT operations, cloud computing, etc.•    Practical IT experience helpful and may be considered in lieu of audit experience requirement•    Strong understanding of payment  systems and PCI Data Security Standards preferred•    Professional certification preferred, e.g. CISA, CISSP, or CISM, with CIA or CPA helpful•    Personal computer literacy required, e.g. Excel, PowerPoint, Word•    Strong analytical skills required•    Ability to handle complex problems and multitasks required•    Strong communication skills (verbal and written) required•    Conforms to acceptable standards of conduct as expressed in the employee handbook and the code of conduct for auditors as prescribed by the Institute of Internal Auditors and the Information Systems Audit and Controls Association •    Must pass a successful  background investigation",Dice Id : 10527711,"South Portland, ME",IT Auditor,3 weeks ago,Telecommuting not available|Travel not required,www.dice.com,"PCI, CISA, CISSP, or CISM, with CIA, IT Audit",daaf56bc42455137549c2d3355675dab
6,"https://www.dice.com/jobs/detail/Senior-Full-Stack-Developer-Genesis10-New-York-NY-10001/gentx001/16-02139?icid=sr14773-493p&q=&l=California,%20Us,%20CALIFORNIA",Genesis10,"Full Time, Direct Placement","Description:   Our client's Open Software Frameworks team is building a variety of products used by both independent software vendors and in-house developers. Their diverse portfolio of products includes Application Portal, Geo Spatial Mapping platform and IDE used to build their terminal applications. This team is contributing to a number of cutting-edge open source projects. Based on the breadth of the team's work, you will need to be a strong full stack developer. You strive to design, implement and support the ideal solution. Balance between elegant design and system performance and reliability is always at the front of your mind. You will have the opportunity to work closely with users, UX and Product teams. Requirements:   * 3+ years of experience programming in C/C++ * 3+ years of experience with HTML5, CSS and JavaScript * Strong OOD/OOP skills and experience applying modern design patterns * Knowledge of algorithms, standard data structures and multithreading We'd love to see: * Experience with C#, .Net internals and WPF * Experience developing distributed systems in a Windows or Linux environment * Familiarity with and understanding of an Agile methodology If you have the described qualifications and are interested in this exciting opportunity, please apply! About SWATT:   The Genesis10 Software and Technology Team (SWATT) is a specialized recruiting service focused on helping accomplished software developers, programmers, platform engineers and elite technology professionals find once-in-a-lifetime career opportunities in New York City with the world's most advanced technology organizations. Whether local to New York or relocating from across North America, we take an authentic approach to helping people make life-changing technology career decisions. For more information go to http://swatt.genesis10.com/ ""Genesis10 is an Equal Opportunity Employer, M/F/D/V""  Start Date: 06/27/2016",Dice Id : gentx001,"New York, NY",Senior Full Stack Developer,7 hours ago,Telecommuting not available|Travel not required,,".Net, Algorithms, Developer, JavaScript, Linux, OOD, OOP, Programming, Systems, Windows",b9520049ff3e799ec368ae0aa99ec5f5
7,"https://www.dice.com/jobs/detail/Senior-Full-Stack-Developer-GENEVA-CONSULTING-GROUP-New-York-NY-10017/geneva/600557?icid=sr35103-1171p&q=&l=California,%20Us,%20CALIFORNIA",GENEVA CONSULTING GROUP,"Contract Corp-To-Corp, Contract W2, 1 year project",Must Have:ReactJSHTML5CSSNodeJSnpmRestful ServicesJSONXMLGood to Have:WebservicesSpringJavaCassandraSolrAgile ,Dice Id : geneva,"New York, NY",Senior Full Stack Developer,19 hours ago,Telecommuting not available|Travel not required,,4-7 years of Full Stack Development experience,1852d4ede66128e938ca0c92ee5b9acf
8,"https://www.dice.com/jobs/detail/Senior-Full-Stack-Developer-GENEVA-CONSULTING-GROUP-New-York-NY-10017/geneva/600557?icid=sr35103-1171p&q=&l=California,%20Us,%20CALIFORNIA",GENEVA CONSULTING GROUP,"Contract Corp-To-Corp, Contract W2, 1 year project",Must Have:ReactJSHTML5CSSNodeJSnpmRestful ServicesJSONXMLGood to Have:WebservicesSpringJavaCassandraSolrAgile ,Dice Id : geneva,"New York, NY",Senior Full Stack Developer,19 hours ago,Telecommuting not available|Travel not required,,4-7 years of Full Stack Development experience,1852d4ede66128e938ca0c92ee5b9acf
9,"https://www.dice.com/jobs/detail/IT-Auditor-WEX-Inc-South-Portland-ME-04106/10527711/809316?icid=sr2791-94p&q=&l=Boston,%20MA",WEX Inc,Full Time,"Senior IT AuditorWEX Inc. is a leading and growing global provider of payment processing, information management and fleet card payment solutions.  We are passionate about providing payment solutions with unparalleled security and control for corporate purchasing and transaction monitoring needs.  We hire people who share the same passion for continuous innovation and client service that is unparalleled in our industry.  We are employee centric offering value-based incentives and generous compensation and benefits packages.  If you are looking for a growing career – come be part of WEX today!General Purpose: Information Systems Auditor: Conducts internal information technology system audits and risk assessments. Develops and implements an audit and control framework to monitor IT production environments for potential system integrity exposure and control weaknesses. Identifies various risks (e.g., financial, operational, compliance) to the organization and makes recommendations for corrective actions/mitigation of risks. Evaluates complex information systems and controls including but not limited to applications, business control processes, change control management procedures, security, networks, and computer and data center operations. Reports findings to management and communicates recommendations for corrective actions. May provide support for Sarbanes-Oxley (SOX) compliance. Typically requires expertise in enterprise software and relational databases.Essential Duties and Responsibilities:1.    Conducts risk-based IT audits.  This includes:a.    Having a thorough understanding of the multiple complex IT systems in order to effectively identify and evaluate organizational risks,b.    Evaluating IT management practices and procedures for compliance with applicable regulations, company policy, and industry standards, e.g. COBIT, FFIEC Guidelines, PCI Data Security Standards, etc.c.    Identifying and testing effectiveness of operating procedures and of internal controls embedded in systems,d.    Preparing, along with reviewing the work of others, audit work papers in accordance with professional standards, ande.    Preparing and reviewing written reports of completed audits and presenting results to Management.2.    Assisting in the management of  Sarbanes Oxley compliance as it relates to IT controls.  This includes working with Management to identify and test key IT controls according to generally accepted auditing standards.3.    Assisting in facilitating IT related audits performed by external parties, e.g.  SSAE 16, PCI, and regulatory reviews.4.    Other duties include:a.    Assisting in the development of the overall audit plan by evaluating the efficiency and effectiveness of present audit procedures,b.    Assisting the SOX and Audit teams in developing and maintaining query tools for selecting samples and performing tests,c.    Assisting external auditors, and d.    Assisting in the handling of non-routine inquires and other confidential projects. Qualifications Minimum Required Qualifications for Consideration•    Bachelor’s degree required with a preference toward Computer Science, Information Systems, Information Security, Accounting, Finance, or Business•    Minimum of five years audit experience required, with a minimum of 3 years IT audit experience •    Demonstrate knowledge and experience with IT technical areas, e.g. logical security, network configuration, operating systems, change management, IT operations, cloud computing, etc.•    Practical IT experience helpful and may be considered in lieu of audit experience requirement•    Strong understanding of payment  systems and PCI Data Security Standards preferred•    Professional certification preferred, e.g. CISA, CISSP, or CISM, with CIA or CPA helpful•    Personal computer literacy required, e.g. Excel, PowerPoint, Word•    Strong analytical skills required•    Ability to handle complex problems and multitasks required•    Strong communication skills (verbal and written) required•    Conforms to acceptable standards of conduct as expressed in the employee handbook and the code of conduct for auditors as prescribed by the Institute of Internal Auditors and the Information Systems Audit and Controls Association •    Must pass a successful  background investigation",Dice Id : 10527711,"South Portland, ME",IT Auditor,3 weeks ago,Telecommuting not available|Travel not required,www.dice.com,"PCI, CISA, CISSP, or CISM, with CIA, IT Audit",daaf56bc42455137549c2d3355675dab
